"","kernel","degree","gamma","coefficient","cost","precision"
"result","polynomial","1","0.00673794699908547","0","2.71828182845905",0.703125
"result.1","polynomial","1","0.00673794699908547","0","148.413159102577",0.703125
"result.2","polynomial","1","0.00673794699908547","0","8103.08392757538",0.703125
"result.3","polynomial","1","0.00673794699908547","1","2.71828182845905",0.703125
"result.4","polynomial","1","0.00673794699908547","1","148.413159102577",0.703125
"result.5","polynomial","1","0.00673794699908547","1","8103.08392757538",0.703125
"result.6","polynomial","1","0.00673794699908547","2","2.71828182845905",0.703125
"result.7","polynomial","1","0.00673794699908547","2","148.413159102577",0.703125
"result.8","polynomial","1","0.00673794699908547","2","8103.08392757538",0.703125
"result.9","polynomial","1","0.00673794699908547","3","2.71828182845905",0.703125
"result.10","polynomial","1","0.00673794699908547","3","148.413159102577",0.703125
"result.11","polynomial","1","0.00673794699908547","3","8103.08392757538",0.703125
"result.12","polynomial","1","1","0","2.71828182845905",0.703125
"result.13","polynomial","1","1","0","148.413159102577",0.703125
"result.14","polynomial","1","1","0","8103.08392757538",0.703125
"result.15","polynomial","1","1","1","2.71828182845905",0.703125
"result.16","polynomial","1","1","1","148.413159102577",0.703125
"result.17","polynomial","1","1","1","8103.08392757538",0.703125
"result.18","polynomial","1","1","2","2.71828182845905",0.703125
"result.19","polynomial","1","1","2","148.413159102577",0.703125
"result.20","polynomial","1","1","2","8103.08392757538",0.703125
"result.21","polynomial","1","1","3","2.71828182845905",0.703125
"result.22","polynomial","1","1","3","148.413159102577",0.703125
"result.23","polynomial","1","1","3","8103.08392757538",0.703125
"result.24","polynomial","1","148.413159102577","0","2.71828182845905",0.703125
"result.25","polynomial","1","148.413159102577","0","148.413159102577",0.703125
"result.26","polynomial","1","148.413159102577","0","8103.08392757538",0.5625
"result.27","polynomial","1","148.413159102577","1","2.71828182845905",0.703125
"result.28","polynomial","1","148.413159102577","1","148.413159102577",0.703125
"result.29","polynomial","1","148.413159102577","1","8103.08392757538",0.484375
"result.30","polynomial","1","148.413159102577","2","2.71828182845905",0.703125
"result.31","polynomial","1","148.413159102577","2","148.413159102577",0.703125
"result.32","polynomial","1","148.413159102577","2","8103.08392757538",0.484375
"result.33","polynomial","1","148.413159102577","3","2.71828182845905",0.703125
